Title	Abstract	Keywords	Coordinator	Participants	URL	Interesting
NEXT GENERATION TOOLS FOR GENOME-CENTRIC MULTIMODAL DATA INTEGRATION IN PERSONALISED CARDIOVASCULAR MEDICINE	Healthcare is the fasted growing EU27 expenditure. Personalised medicine, comprising tailored approaches for prevention, diagnosis, monitoring and treatment is essential to reduce the burden of disease and improve the quality of life. Integration of multiple data types (multimodal data) into artificial intelligence models is required for the development of accurate and personalised interventions. This is particularly true for the inclusion of genomic data, which is information-rich and individual-specific, and more routinely available as the cost of sequencing continues to fall. Multimodal data integration is complex due to privacy & governance requirements, the presence of multiple standards, distinct data formats, and underlying data complexity and volume. NextGen tools will remove barriers in data integration several cardiovascular use cases. NextGen deliverables will include tooling for multimodal data integration and research portability, extension of secure federated analytics to genomic computation, more effective federated learning over distributed infrastructures, more effective and accessible tools for genomic data analysis; improved clinical efficiency of variant prioritisation; scalable genomic data curation; and improved data discoverability and data management. A comprehensive gap analysis of the existing landscape, factoring ongoing initiatives will ensure NextGen deliverables are forward-looking and complementary. NextGen embedded governance framework and robust regulatory processes will ensure secure multi-jurisdictional multiomic multimodal data access aligned with initiatives including “1+ Million Genomes” and the European Health Data Space. Several real-world pilots will demonstrate the effectiveness of NextGen tools and will be integrated in the NextGen Pathfinder network of five collaborating clinical sites as a self-contained data ecosystem and comprehensive proof of concept.	cardiovascular medicine; genomics; federated learning; data space; data oriented architecture	UNIVERSITAIR MEDISCH CENTRUM UTRECHT - UMC UTRECHT	DATAPOWER SRL -; EURECOM GIE - EURECOM	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101136962/program/43108390/details	
NATURE-INSPIRED PROPHYLACTIC LUBRICANTS AGAINST HIV-1 AND HSV-2	Currently, there are no vaccines against HIV (human immunodeficiency virus) and HSV (herpes simplex virus) infections. Condom, when used properly, are the most effective means of prophylaxis against viral transmission. However, there is a significant gender imbalance in condom use because women are not always in control over their use. In addition, women are at least twice as likely as men to contract sexually transmitted infections (STIs) from infected partners. Several STIs, including HIV, are underdiagnosed due to asymptomatic infections and/or lack of testing facilities. This is particularly problematic for women from African countries, who are at high risk of contracting STIs but have poor access to testing facilities. Alternatives to condoms that use established antivirals for HIV prophylaxis come with issues such as antimicrobial resistance and low adherence in practice in high-risk groups. There are also no means other than condoms for prophylaxis against HSV. Co-infection with HIV/HSV results in a vicious cycle of mutual facilitation, as individuals who are carriers of HSV have a three- to fourfold increased risk of contracting HIV. Inspired by nature, NatProLub develops a radically novel prophylactic approach to HIV and HSV prophylaxis through the use of lubricants. By targeting women, who are particularly at risk, NatProLub has a clear vision for a user-friendly, prophylactic product that can redress the gender imbalance in sexual health while offering a low risk of side effects and avoiding the risk of developing antimicrobial resistance. The members of the NatProLub consortium have very strong backgrounds in relevant but complementary scientific disciplines that will contribute to the development of prophylactic lubricants for end users and have previous successful experience in managing large scientific projects, the creation of spin-off companies, and maintaining well-developed professional networks in academia, industry, and healthcare.	"Synthetic ""mucus-like"" gel; lubrication; anti-HIV-1 dipeptides; anti-virals; immunology; HIV-1; HSV-2; microfluidic; organ-on-a-chip; in vitro; in vivo; and macaques"	UPPSALA UNIVERSITET - UU	CIRQLE BIOMEDICAL CONTRACEPTION APS -; COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES - CEA	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101130633/program/43108390/details	
NANOMEDICINE FOR ORGAN TRANSPLANTATION TOLERANCE (PHOENIX)	"PROBLEM: Today, organ transplant medicine is limited by life-long immunosuppression and vulnerability to infections, malignancies and cardiovascular diseases, and by a 20% rate of long-term graft failure.

SOLUTION: PHOENIX reprograms the local immune micro-environment around a graft organ, inducing long-term transplant tolerance without broader systemic immunosuppression. 

FOUNDATIONS: Our expert teams have already discovered novel peptide-MHC complex-based nanomedicines for the treatment of autoimmune diseases. This project will transform, deploy and validate this nano-technology platform for transplant medicine. We have unique expertise in kidney and liver murine transplant models as well as liver transplantation in pigs and have established a molecular engineering pipeline for immune-protein synthesis to enable future clinical translation. Extensive clinical-trial expertise will enable us to progress efficiently from this project towards the clinic.

WORKPLAN: We are designing and building a unique nanomedicine which delivers ubiquitous or self-antigens - common to all humans – that will redirect the host immune response against the graft toward regulation and tolerance development.  These medicines will be demonstrated in murine and porcine models, laying the foundation for human clinical trials immediately post-project. 

SUMMARY: This project combines innovative multi-disciplinary approaches, building on a proven foundation, to deliver a novel therapy    which will have a transformative positive effect on organ transplant patients and healthcare."	immunology; nanotherapy; organ transplant; reprogramming the immune response	ISTITUTO DI RICERCHE FARMACOLOGICHE MARIO NEGRI - IRFMN	CENTRE HOSPITALIER UNIVERSITAIRE DE RENNES - CHU RENNES; FUNDACIO DE RECERCA CLINIC BARCELONA-INSTITUT D INVESTIGACIONS BIOMEDIQUES AUGUST PI I SUNYER - IDIBAPS-CERCA	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101076383/program/43108390/details	
Multiscale modelling for wind farm design, performance assessment and loading	The wind industry is developing wind turbines and airborne wind energy devices which span altitudes well above the well-studied surface layer. A full understanding of the unsteady inflow conditions which drive loads and performance at these altitudes is lacking. MERIDIONAL will provide a comprehensively validated tool chain based on an open-source platform which will draw on an integrated knowledge and data hub to allow the efficient and accurate assessment of the performance and loads experienced by onshore, offshore, and airborne wind energy systems. This tool chain can be used for component, device and plant level planning and operation. It will consist of models which can capture the unsteady time-resolved inflow structures which drive performance and loads within the wind plant, incorporating inter and intra farm turbine interactions. Inflow conditions will be analysed and modelled beyond the surface layer to capture the conditions within and above the atmospheric boundary layer. This is critical to a full understanding of the loads and performance of wind farms and airborne wind energy devices. Model validation will be underpinned by a range of high quality and unique datasets drawing on high-fidelity simulations, and kite-borne, lidar, drone and mast measurements from field test campaigns in complex terrain, offshore and airborne. The strength of the tool chain results from developing different models for different situations, using higher order approaches (e.g., meso and microscale LES) when required and lower order models (physics or data-driven) where these are sufficient to accurately predict loads and performance. The knowledge and data hub will allow users of the tool chain to draw on a wide range of existing and project-generated measurement and simulation data to allow site specific analysis to be carried out at any location. MERIDIONAL allows stakeholders to increase wind plant efficiency and reduce material costs through less conservative design.	Modelling; measurement; CFD; LES; loads; database; turbulence; wakes; resource; AWES; wind farms; wind turbines; energy yield; drones; kites; AI	TECHNISCHE UNIVERSITEIT DELFT - TU Delft	AIRBORNE WIND EUROPE -; DANMARKS TEKNISKE UNIVERSITET - TECHNICAL UNIVERSITY OF DENMARK DTU	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101084216/program/43108390/details	
Multiparametric nanoelectronic biosensors for therapy response testing	Proteases recently emerged as a promising new class of biomarkers with a broad diagnostic, prognostic and therapeutic potential for different human diseases including neurological and psychiatric diseases, several types of cancer, and immune system disorders. However, there is a lack of tools for real-time activity analysis of disease-related protease biomarkers. To address this issue, we propose to develop a highly sensitive graphene-based biosensor platform for parallel detection of multiple proteases in serum. We will exploit a new label-free sensing mechanism based on charge removal due to cleavage of designer peptides by proteases. As a specific business case, we plan to address therapy response prediction along treatment of major depressive disorder (MDD). MDD is one of the most common and burdensome mental disorders worldwide. MDD is also among the most expensive brain diseases in Europe. While effective treatments exist, there is a high variability in treatment response. There are no serum-based tests to predict personalized therapy for MDD patients. The effective treatment is identified through trial and error, a great burden for patients and the health care system. A rapid, sensitive and easy-to-use test would allow faster and more precise treatment identification, improving therapy outcomes and reducing hospitalization times. Here, we plan to detect two protease biomarkers associated with MDD. The biosensors will be validated in clinical serum samples. Arrays of graphene biosensors will be integrated on silicon wafers with a multiplexed readout matrix to realize a miniaturized sensor system with multi-analyte detection capability, high dynamic range, high precision, low detection limit, and low material consumption. The resulting platform technology may enable various point-of-care diagnostic and therapy prediction tools. This will help secure industrial leadership of the EU over the entire value chain of novel graphene-based bio-analytical tools.	Graphene; biosensor; protease; depression; therapy	HOCHSCHULE KAISERSLAUTERN - UNIVERSITY OF APPLIED SCIENCES		https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101119473/program/43108390/details	
MultiomIcs based Risk stratification of Atherosclerotic CardiovascuLar disEase	Atherosclerotic cardiovascular disease (ASCVD) is the leading cause of mortality worldwide. Aside from asymptomatic manifestations, the first sign of clinically significant ASCVD is often a severe clinical event, such as stroke or myocardial infarction (MI). Thus, identifying individuals at high risk is crucial in preventing the fatal consequences of ASCVD. Current risk prediction models based on traditional risk factors, such as SCORE2, have limitations since they do not encompass all mechanisms and intermediary phenotypes leading to ASCVD. Particularly, current risk models fail to consider the disturbance of gene regulatory networks (GRNs) caused by genetic risk factors and diverse longitudinal exposures accumulating during a person's lifetime.Furthermore, the current models predict the combined risk of CAD, PAD and ischemic stroke despite mounting evidence of the heterogeneity of the underlying disease mechanisms. To capture the missing aspects of current ASCVD risk scores, MIRACLE project brings together unique data resources and expertise to provide novel multiomics based prediction models of ASCVD. We aim to (1) Integrate the globally largest CAD, PAD, and stroke GWAS information to identify genetic loci that differ between or are shared by these diseases and their subtypes, (2) Identify sex-specific subtypes of ASCVD patients using transcriptomic phenotyping of plaques and circulating biomarkers, (3) Generate functionally informed polygenic risk scores by combining experimental fine-mapping and gene prioritization approaches with integrative GRN and deep learning modelling. (4) Derive novel risk prediction models incorporating polygenic risk and circulating biomarkers. Providing a new gold standard for prediction models to accurately risk stratify stroke and MI represents a technological breakthrough allowing for earlier diagnoses and treatments of ASCVD.	Atherosclerotic Cardiovascular Disease; Coronary Artery Disease; Peripheral Artery Disease; Stroke; Risk prediction; SCORE2; Biomarker; Gene Regulatory Network; Transcriptomics,Proteomics,Metabolomics	ITA-SUOMEN YLIOPISTO - UNIVERSITY OF EASTERN FINLAND	DEUTSCHES HERZZENTRUM MUNCHEN - DHM; KAROLINSKA INSTITUTET - KI	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101115381/program/43108390/details	
Multi-material additive manufacturing for lightweight and thermal management	"The 26th Climate Change Conference has highlighted the urgent need to reduce global carbon dioxide emissions to limit global warming. The transport sector accounts for approx. 16% of the global carbon emissions and has identified fleet electrification as the primary route to achieving climate neutrality. However, the main challenges are the current weight of components and the cost of new systems to ensure efficiency and long-term sustainability. As a result, the industry has recognised the need for transformative technologies and production methods to develop lighter, more efficient, and cost-effective solutions to enable this transition and achieve climate neutrality.
With their outstanding mechanical strength, Carbon Fibre Composites (CFC) have been increasingly used to replace metals in products requiring lightweight features, such as aircraft or high-performance vehicles. However, due to the traditional manufacturing process and poor thermal conductivity, the use of CFC has been limited to structural applications. For example, batteries, electrical motors, and power electronics, where power losses need to be efficiently dissipated, typically require separate heat exchangers, resulting in heavier and less cost-effective solutions that still utilize bulky designs and heavy materials.
The vision of MULTHEM is to develop a reliable and validated Additively Manufactured (AM) CFC process with enhanced thermal conductivity with different material combinations and nanotechnology. This innovative approach will allow the development of components, such as battery and motor housings with dual functionality comprising structural and cooling features and with a more cost-effective approach than traditional methods. This solution will enhance the product performance, first by the weight reduction achieved by designs that only AM enables, and second, by using CFC-metal structures with enhanced thermal conductivity strategies, lighter and stronger than aluminium or steel."	Additive Manufacturing; Multi-material; Material Extrusion; Carbon Fiber-Reinforced Polymers; Laser Melting Deposition; Robotic FSW; joining technologies	FUNDACION CENTRO TECNOLOGICO METALMECANICA Y DEL TRANSPORTE	EIRECOMPOSITES TEORANTA - EC; FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV - Fraunhofer	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101091495/program/43108390/details	
Multi-layer governance performance of marine policies	PERMAGOV aims to contribute to the realization of the EU Green Deal objectives by improving implementation and performance of EU marine policies. PERMAGOV’s project objectives are: 1) co-developing and applying a Marine Governance Performance Assessment Framework to assess how institutional barriers, formal and informal collaborations and e-governance tools enable and constrain the capability of actors to implement EU marine policies within the areas of Marine Energy, Maritime Transport, Marine Life and Marine Litter; and 2) co-producing Multi-Layered Collaborative Marine e-Governance Strategies which enhance the capability of end-users to contribute to the implementation of EU marine policies related to the four marine issue areas to achieve the EU Green Deal goals. PERMAGOV will contribute to the improved performance of marine polices and a successful implementation of the EU Green Deal objectives, by an assessment of 9 cases (De-carbonizing shipping, Motorways of the Sea (Maritime Shipping), Seabed integrity, Sustainable fisheries in MPAs (Marine Life), Floating Wind, Energy island, Offshore Wind (Marine Energy), Marine litter (Baltic and Mediterranean Seas)(Marine Plastics)), focusing on the enabling and constraining conditions of institutional barriers and the possibilities for multi-layered collaborative and e-governance. Characteristics for PERMAGOV is co-production and co-creation from the start to the end of the project and beyond. Together with end-users and stakeholders from maritime industries, NGOs, researchers and policymakers the Performance Assessment Framework will be developed and applied, in co-production the cases will be assessed, innovative Governance Strategies will be developed and digital tools will be improved in order to overcome the barriers hampering the performance of marine policies and the successful implementation of the objectives of the European Green Deal. 	Marine Governance Performance Assessment; institutional barriers; EU green deal; e-governance; Governance Strategies; Marine Energy; Maritime Transport; Marine Life and Marine Litter; co-production	WAGENINGEN UNIVERSITY - WU	AALBORG UNIVERSITET - AAU; ARCTIC ENERGY PARTNERS - Arctic Energy Partners	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101086297/program/43108390/details	
Multi-layer 360° dYnamic orchestrion and interopeRable design environmenT for compute-continUum Systems	The “Multi-layer 360° dYnamic orchestration and interopeRable design environmenT for compute-continUum Systems (MYRTUS)” project aims to provide the technology to make CPS evolving towards a living dimension, embracing the technological principles of the TransContinuum Initiative where “edge, fog and cloud computing platforms are being pulled closer together into a seamless execution environment” and “programming has to be reinvented, with languages and tools to orchestrate collaborative distributed and decentralised components, as well as components augmented with interface contracts covering both functional and non-functional properties”. MYRTUS puts together different technologies to design and operate complex, distributed, and heterogeneous CPS computing infrastructures, leveraging diverse cloud to edge technologies, including from off the shelf CPUs to custom AI accelerators, offered by multiple providers. Main MYRTUS results are (i) the MYRTUS reference infrastructure, comprising a diversity of heterogeneous, autonomous, federated and collaborative computing nodes distributed across the computing continuum; (ii) a novel management scheme featuring MIRTO, an AI-powered cognitive engine capable of orchestrating, at 360°, the whole continuum infrastructure, and (iii) the MYRTUS design and programming environment to design, deploy, and operate such complex infrastructures. MYRTUS solutions represent the instruments to unlock the new living dimension of CPS, pursuing also sustainable and responsible computing, openness, security and trustworthiness, and promoting strategic industrial cooperations by establishing synergies with relevant initiatives and projects, as IPCEI, Gaia-X, TransContinuum Initiative. Technology assessment is carried out within two challenging scenarios, Healthcare and Mobility, involving humans.	Design environment; dynamic orchestration; computing continuum; interoperability and AI	ABINSULA SRL -	ARUBAKUBE S.R.L. -; CANON RESEARCH CENTRE FRANCE -	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101135183/program/43108390/details	
Multi-component interventions to reducing unhealthy diets and physical inactivity among adolescents in sub-Saharan Africa	"The fragile health systems in urban sub-Saharan Africa (SSA) are already overwhelmed with NCDs. Despite this, the implementation of the evidence-based WHO Best Buys policies for NCDs prevention in the African region has been found to be off-track. Additionally, less attention has been given to adolescents and yet this is a period in life where behavioural patterns of NCDs risk factors are established and track into adulthood. There is also a gap in our understanding on how to implement and scale up effective diet and physical activity interventions in real world settings in SSA.

Our project therefore aims to reduce two important modifiable risk factors for NCDs: unhealthy diets and physical inactivity and their underlying social determinants among adolescents (aged 10-19 years) living in  mixed socio-economic urban communities in two SSA countries (Ghana & Kenya) by designing, deploying, and evaluating strategies for implementation of evidenced and theory based interventions mapped on to the WHO Best Buys. We selected the two countries because they represent different cultural contexts of nutrition transition (East and West Africa), and both countries are undergoing rapid economic development, urbanisation and increases in NCD prevalence. The intervention delivery will take a multi-sectoral approach to increasing the capability, opportunity and motivation of adolescents to eat healthier and be more physically active. We will focus on three settings to enhance the reach: secondary schools and, family/community/faith-based settings and the digital environment using social media. 

Together, this project will increase opportunities, awareness, knowledge and health literacy, motivate adolescents to increase self-efficacy, guide self-regulatory actions and adopt positive health behaviour (such as dissuasion from physical inactivity and sedentary behaviours, or unhealthy food choices) to prevent NCDs."	Implementation Science; NCDs; Behaviour risk factors; WHO Best Buys; Adolescents and youth; Sub-Saharan Africa	STICHTING AMSTERDAM UMC -	AFRICAN POPULATION & HEALTH RESEARCH CENTRE KENYA - APHRC; INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT - IRD	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101095375/program/43108390/details	
Multi Material Additive Manufacturing with Electrostatic Cold Spray	While additive manufacturing (AM) is deemed the future of industrial production for its exceptional freedom in design, several technical limits hinder its full exploitation. Surprisingly, the most diffused AM techniques (e.g. LPBF) are associated with almost 4 times higher energy consumption compared to conventional manufacturing processes, while being also more limited in build rate, build size, material selection and surface quality. We need to re-invent AM to tackle these challenges and expand its market to uncharted areas. In MadeCold we will achieve a real breakthrough in this direction by merging solid state and electrostatic physics, control and monitoring, and mechanical design with material science to develop a disruptive solid state deposition process. The revolutionary principle of MadeCold is to charge and accelerate metal powders to supersonic velocities in a customized electric field and take benefit from the kinetic energy to induce bonding upon impact with a substrate; this has not been done before. Relying on our preliminary results, we will implement multiscale computational models and advanced experiments to develop a single launcher to prove bonding efficiency. Then via a new control system, we will pair multiple launchers to exhibit the capacity of MadeCold for covering simultaneously a theoretically unlimited surface, compared to the point-wise print of the current AM. We will demonstrate that it outperforms the existing technologies regarding the accuracy, deposition rate, flexibility and scalability and paves the way to depositing functional multi-material structures with unprecedented properties. We intend to prove this in 3 key sectors: aerospace, energy and hybrid manufacturing with specific proofs of concept. We are confident to achieve the overall objectives via a sophisticated multi-disciplinary approach based on scientific investigations, and the exploitation of discoveries to establish Europe as a leader in advanced manufacturing. 	Metal Additive Manufacturing; Solid State Powder Deposition; Powder Acceleration	POLITECNICO DI MILANO - POLIMI		https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101130639/program/43108390/details	
Microbial Hydroponics: Circular Sustainable Electrobiosynthesis	For the first time, Mi-Hy brings together Microbial Fuel Cell (MFC) technology and hydroponics, thereby introducing a prosthetic rhizosphere (an extended rhizosphere community) to the typically “soil-less” configuration of hydroponics systems. The Mi-Hy system will modulate nitrogen forms, plant root microbiomes optimise nitrogen uptake, and mobilise phosphorous, averting the need for chemical fertilisers. This circular, sustainable platform turns carbon into biomass and reclaims nitrogen from wastewater streams. Linked through shared microbiomes, the bioelectricity generating Bioelectrochemical System (BES) Microbial Fuel Cell (MFC) platform is: i) optimised to generate electricity from wastewater at 1mW/1mL feedstock (setting a new benchmark for MFCs); ii)  driving wavelength-specific LEDs to optimize photosynthesis; iii) capable of recovering useful biomolecules using adjacent MFCs to modulate the  redox potential of a workhorse Microbial Electrolysis Cell (MEC) performing microbial electro synthesis (MES). This novel development brings together MFCs & MECs. Since these share common microbial constituents, they can be technologically combined without the need for external, (fossil-fuel based) energy sources. To achieve this goal, Mi-Hy aims to design biofilms using metabolic engineering in wild type symbiotic strains. This next-generation hydroponics system has near-future applications in agriculture and in the urban environment. It delivers a smart, decentralized, low power digital infrastructure with sustainable organic solutions, which are in line with the ambitions of the Missions Cities & Climate adaptation (urban agriculture, precision gardening, wastewater treatments, energy generation, synthesis of high value compounds e.g., vitamins). Mi-Hy will also invite designers and stakeholders from various sectors to co-create future applications. Ultimately, it anticipates and facilitates a healthier, sustainable, nature-based urban landscape.	Microbial Fuel Cells; Hydroponics; microbial prosthesis; rhizome community; circular economy; nitrogen metabolism; carbon utilisation	KATHOLIEKE UNIVERSITEIT LEUVEN - KU Leuven	AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS - CSIC; BIOFACTION KG - BIOFACTION KG	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101114746/program/43108390/details	
Merging scientific Evidence with Regulatory practices and Leveraging identification Of endocrine disruptors using New approach methodologies	"Endocrine disrupting chemicals (EDCs) are substances that alter the function of the endocrine system and negatively affect human and animal health. In recent decades, there has been a significant increase in, for example, reproductive disorders and gender incongruence, along with a decline in fertility rates, all of which may be linked to EDC exposure. The EU has highlighted EDCs as substances of high concern and aims to minimise exposure of humans and the environment by improving regulation and policy. Yet there remain important gaps in our understanding of the impact of exposures at critical life stages and the tools for identification and ultimately regulation of EDCs.
 
The MERLON project addresses these gaps, bringing together world-leading experts in endocrinology, chemical safety assessment, developmental and molecular biology, epidemiology, toxicogenomics, toxicokinetics modelling, regulatory toxicology, psychology, psychiatry and research ethics. We will investigate EDC-mediated effects on sexual development, providing human data on the role of EDC exposure during fetal development and changes in mini-puberty, connecting to puberty, reproductive function, and gender incongruence using existing biobanks and cohorts. MERLON will apply and develop 3R-compliant New Approach Methodologies (NAMs) focusing on sexual development and function and the effects of EDCs thereon. Our cutting-edge approaches incorporate transcriptomics, pharmacokinetic models, biomarker identification and the use of Adverse Outcome Pathways, which we will utilize to develop a roadmap for EDC identification, making the best use of NAMs into the future. 

With MERLON, we will engage EU risk assessment bodies, public health authorities, regulators, scientists and researchers, healthcare providers and citizens. This will ensure all relevant stakeholders have the evidence they need to minimize EDC exposure and support effective and evidence-based regulations and policies."	reproduction; gender; endocrine disruptors; gender incongruence; NAMs; development; DOHaD; chemical regulation; AOP	DANMARKS TEKNISKE UNIVERSITET - TECHNICAL UNIVERSITY OF DENMARK DTU	FUNDACIO INSTITUT D'INVESTIGACIO SANITARIA PERE VIRGILI; HEALTH AND ENVIRONMENT ALLIANCE - HEAL	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101137411/program/43108390/details	
Medium-range hybrid low-pollution flexi-fuel/hydrogen sustainable engine	"MYTHOS proposes to develop a demonstrated innovative and disruptive design methodology for future short/medium range civil engines capable of using a wide range of liquid and gaseous fuels including SAFs and, ultimately, pure hydrogen, thus aiming at fulfilling the objective of decarbonize civil aviation as fore-seen by the ACARE SRIA short, mid and long-term Goals by 2050. To achieve these, the MYTHOS consor-tium develops and adopts a multidisciplinary multi-fidelity modelling approach for the characterization of the relevant engine components deploying the full power of the method of machine learning. The latter will lead through hidden-physics discovery to advance data-driven reduced models which will be embedded in a holistic tool for the prediction of the environmental footprint of the civil aviation of all speeds. A unique aspect of the project is the high-fidelity experimental validation of the numerical approaches. MYTHOS consortium through this approach will contribute to reduce time-to-market for engines designed and engi-neered to burn various types of environmentally friendly fuels, such as SAF, in the short and medium term, and hydrogen, in the long term. 
The proposed work responds to the needs and objectives of the HORIZON-CL5-2022-D5-01-12: Towards a silent and ultra-low local air pollution aircrafts Call as described in detail below."	Flexi-fuel engine design methodology; chemical kinetics; high-performance numerical simulations; advanced numerical methods for high-fidelity multi-physics modelling; high-fidelity experimental measur	RUHR-UNIVERSITAET BOCHUM - RUHR-UNIVERSITAET BOCHUM		https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101096286/program/43108390/details	
Medical Integrated Photonic Ultrasound Transducer	"The multi-sensing 'Medical Integrated Photonic Ultrasound Transducer' (MED-IPUT) project will develop a high-resolution, high-quality, recyclable medical imaging system based on a disruptive integrated photonic ultrasound transducer concept. We envisioned a 100x increase in sensitivity compared to conventional US.

The IPUT-based sensing system, combines optical waveguides and micromechanical membranes with two optical read-out techniques (RR and MZI) to at least two US applications; medical ultrasound (US) and photoacoustics (PA). We will solve technical challenges such as increasing sensitivity, mass parallelization by optical multiplexing and hybrid integration of microelectronics in PIC, tuneable waveguides, fiber chip coupling manufacturability and packaging. These advances will lead to a higher production yield and increased insight in the processing solutions of hybrid integrated photonics. The IPUTs are based on easily accessible materials, don’t require lead to improve the performance and laser power can be reduced significantly. 

We will iteratively develop an effective SOI and SiN manufacturing process to realize very sensitive IPUT sensors and integrate them into US transducer arrays for medical imaging and PA for validation and demonstration on phantoms instead of tissue. 

The partners have the in-house capability to develop, manufacture, integrate and package the novel IPUT-based sensing systems into transducers, covering the full manufacturing value chain. 

The increase in sensitivity will enable: 
1. An increase of the US image by a factor 2.
2. An increase of the penetration depth by a factor 2.
3. A 100x reduction of the peak pressures.
4. A 100x reduction of the required laser power for PA resulting in the use of low-cost lasers.

MED-IPUT reinforces European industrial leadership in high-performance multi-sensing system development and manufacturing, particularly in the healthcare sector."	Medical Integrated Photonic Ultrasound Transducer Photoacoustics Optical Waveguides Manufacturability Packaging Imaging PIC MEMS	NEDERLANDSE ORGANISATIE VOOR TOEGEPAST NATUURWETENSCHAPPELIJK ONDERZOEK TNO - NETHERLANDS ORGANISATION FORAPPLIED SCIENTIFIC RESEARCH	EIBIR GEMEINNUTZIGE GMBH ZUR FORDERUNG DER ERFORSCHUNG DER BIOMEDIZINISCHEN BILDGEBUNG -; TEKNOLOGIAN TUTKIMUSKESKUS VTT OY - VTT	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101092947/program/43108390/details	
Materials for a next-generation (nano-)opto-electro-mechanical systems	"Nano-opto-electro-mechanics (NOEMS) is an emerging field with unparalleled prospects for the design of efficient and low-power devices for ICT. However, to capitalize NOEMS potential, a flexible and up-scalable technology platform must be established, preferably based on current microelectronic technology.
MAGNIFIC aims at filling this gap focusing on nanocrystalline silicon (nc-Si), only recently used in NOEMS with very promising results, and its integration with columnar aluminium nitride. Indeed, while nc-Si is widely used in MEMS production, the dynamics of such an optically and electrically active nanocrystalline material has barely been investigated, leaving fundamental gaps in the understanding of the interplay between electrons, phoTons and phoNons.
In this context, we propose an up-scalable, cost efficient, room temperature and Si-compatible nano-opto-electro-mechanical platform for powering efficient communications technologies. The key challenge is to achieve a comprehensive understanding of the static and dynamic material properties and their interdependence. In particular, understanding the role of nano-crystallites and grain boundaries in absorption and in dissipation mechanisms at the nanoscale is crucial for energy efficiency and for reliable performance as they are intrinsically linked to losses and variability.
The aimed platform will provide a coherent interface between RF electronics and telecom-wavelength optics mediated by phoNons, able to provide different functionalities (local oscillation, frequency conversion, modulation) in highly compact, energy efficient devices.
The project starts at TRL3, achieved via two previous EC projects, and brings the system to TRL5 realizing devices and circuits, suitably packaged, and environmentally tested with RF frequencies in the 3-12 GHz range. This will allow to cover a broad variety of ICT applications including pervasive wireless networks (5G and beyond), smart cities, IoT and satellite communications."	Nano-crystalline silicon; 5-G networks; Access networks; Cavity opto-mechanics; Nano-opto-electro-mechanical systems; Silicon photonics.	CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS - CNRS		https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101091968/program/43108390/details	
